
57, 78, 97, 91, 71, 83, 110, 109, 95, 91, 101, 113, 
118, 119, 131, 140, 135, 125, 136, 137, 127, 115, 119, 122, 
114, 108, 117, 126, 131, 107, 68, 67, 72, 103, 95, 96, 
83, 88, 111, 106, 107, 112, 125, 126, 125, 129, 147, 147, 
154, 137, 143, 148, 139, 128, 131, 126, 116, 118, 125, 136, 
136, 96, 49, 33, 83, 102, 118, 106, 79, 91, 102, 118, 
120, 121, 117, 124, 118, 118, 127, 125, 136, 137, 140, 135, 
139, 149, 140, 130, 134, 144, 151, 143, 117, 81, 65, 17, 
116, 115, 117, 106, 103, 104, 103, 103, 101, 85, 72, 93, 
89, 115, 121, 116, 110, 110, 113, 112, 119, 134, 125, 117, 
117, 134, 132, 105, 58, 47, 46, 14, 157, 154, 142, 135, 
140, 120, 84, 74, 72, 52, 58, 60, 64, 131, 154, 148, 
135, 126, 118, 110, 110, 114, 122, 124, 121, 115, 93, 67, 
32, 31, 24, 32, 151, 165, 165, 162, 154, 93, 41, 42, 
46, 59, 59, 41, 42, 70, 107, 140, 156, 168, 164, 153, 
151, 129, 119, 121, 115, 95, 65, 46, 26, 14, 23, 37, 
117, 144, 175, 178, 159, 74, 43, 53, 38, 43, 56, 64, 
43, 34, 47, 84, 146, 181, 177, 173, 159, 137, 118, 108, 
95, 75, 54, 39, 34, 48, 52, 41, 113, 93, 144, 183, 
157, 65, 29, 48, 46, 35, 41, 50, 58, 47, 40, 46, 
93, 150, 152, 150, 145, 135, 128, 115, 97, 70, 50, 48, 
47, 81, 85, 63, 128, 102, 100, 168, 165, 79, 45, 43, 
60, 39, 35, 32, 49, 64, 48, 40, 44, 87, 133, 143, 
143, 139, 132, 119, 97, 68, 54, 42, 38, 74, 88, 71, 
127, 129, 94, 109, 159, 96, 62, 46, 59, 55, 44, 42, 
49, 47, 61, 55, 33, 36, 69, 105, 128, 129, 121, 107, 
85, 61, 52, 47, 57, 64, 68, 67, 92, 108, 94, 78, 
103, 83, 48, 63, 56, 71, 67, 52, 60, 47, 35, 56, 
54, 38, 34, 54, 82, 105, 107, 99, 81, 69, 70, 77, 
79, 64, 56, 62, 154, 99, 117, 126, 67, 46, 47, 62, 
46, 50, 64, 54, 63, 51, 28, 29, 40, 60, 51, 35, 
40, 61, 92, 90, 80, 116, 141, 119, 93, 68, 63, 64, 
179, 118, 114, 153, 111, 42, 53, 50, 35, 36, 47, 52, 
54, 44, 37, 35, 31, 36, 60, 55, 37, 43, 73, 85, 
104, 135, 174, 174, 134, 71, 58, 62, 166, 133, 110, 148, 
150, 80, 48, 55, 37, 39, 45, 60, 48, 43, 46, 51, 
49, 40, 38, 63, 72, 37, 45, 72, 115, 132, 158, 175, 
160, 98, 61, 73, 132, 143, 117, 130, 137, 80, 21, 42, 
55, 46, 49, 56, 60, 55, 61, 54, 53, 59, 41, 32, 
62, 49, 27, 43, 83, 122, 117, 123, 156, 117, 69, 79, 
84, 98, 87, 82, 73, 61, 30, 21, 42, 56, 62, 58, 
62, 59, 62, 63, 65, 72, 58, 36, 30, 60, 47, 29, 
52, 101, 103, 97, 124, 88, 47, 58, 84, 91, 63, 43, 
75, 97, 63, 18, 39, 65, 72, 53, 65, 61, 48, 62, 
62, 64, 72, 55, 30, 38, 65, 34, 28, 45, 54, 65, 
67, 55, 54, 99, 85, 92, 71, 53, 114, 123, 100, 45, 
48, 66, 78, 56, 62, 63, 42, 39, 38, 40, 57, 65, 
44, 29, 42, 48, 29, 37, 48, 40, 39, 38, 63, 97, 
99, 86, 93, 70, 113, 127, 118, 106, 66, 62, 72, 58, 
56, 49, 47, 40, 34, 40, 46, 47, 47, 39, 27, 46, 
43, 30, 42, 35, 37, 54, 70, 70, 81, 75, 78, 66, 
103, 119, 117, 123, 83, 58, 60, 61, 48, 44, 43, 32, 
31, 39, 47, 41, 39, 38, 33, 34, 45, 38, 34, 35, 
27, 41, 82, 80, 69, 67, 77, 76, 116, 138, 127, 136, 
107, 68, 69, 67, 53, 46, 39, 34, 33, 34, 41, 35, 
38, 36, 40, 32, 36, 53, 33, 30, 42, 49, 84, 120, 
77, 55, 68, 84, 95, 146, 151, 169, 137, 78, 70, 63, 
54, 56, 47, 45, 37, 36, 36, 39, 31, 30, 36, 33, 
30, 41, 42, 29, 44, 50, 77, 129, 80, 78, 71, 90, 
78, 116, 158, 184, 145, 76, 68, 69, 56, 54, 53, 45, 
46, 57, 55, 52, 47, 43, 36, 40, 31, 32, 54, 50, 
30, 48, 68, 128, 82, 107, 113, 98, 88, 98, 158, 185, 
121, 68, 71, 60, 53, 48, 46, 50, 62, 53, 53, 66, 
54, 42, 36, 40, 32, 29, 44, 57, 58, 84, 78, 133, 
110, 113, 130, 119, 111, 97, 138, 188, 106, 65, 74, 75, 
69, 68, 57, 71, 77, 52, 68, 74, 51, 45, 44, 55, 
44, 27, 36, 45, 52, 59, 59, 129, 131, 130, 131, 126, 
124, 97, 88, 143, 89, 73, 82, 70, 73, 72, 68, 73, 
77, 74, 66, 57, 35, 35, 40, 51, 33, 26, 31, 44, 
52, 58, 80, 144, 135, 144, 152, 141, 128, 101, 64, 105, 
79, 84, 92, 62, 49, 62, 77, 72, 57, 52, 57, 61, 
40, 47, 47, 39, 27, 33, 35, 36, 78, 127, 141, 153, 
114, 132, 148, 132, 110, 82, 86, 127, 82, 96, 96, 59, 
27, 27, 47, 69, 62, 45, 50, 57, 49, 56, 61, 54, 
33, 47, 46, 38, 93, 163, 157, 156, 103, 123, 124, 109, 
110, 75, 113, 150, 90, 101, 84, 54, 51, 52, 41, 39, 
56, 56, 52, 50, 43, 45, 53, 48, 45, 58, 49, 55, 
104, 120, 130, 160, 128, 129, 116, 87, 84, 78, 98, 100, 
72, 81, 67, 70, 82, 76, 57, 52, 66, 60, 61, 53, 
39, 46, 46, 45, 57, 60, 82, 122, 114, 78, 87, 136, 
110, 95, 90, 85, 65, 66, 77, 76, 79, 72, 74, 88, 
97, 102, 97, 85, 89, 83, 75, 70, 50, 56, 63, 54, 
54, 64, 123, 138, 105, 83, 83, 107, 120, 108, 99, 106, 
84, 115, 132, 129, 129, 133, 137, 147, 147, 144, 149, 145, 
145, 137, 107, 87, 69, 68, 63, 53, 61, 107, 154, 137, 
122, 124, 108, 115, 30, 58, 77, 64, 36, 44, 66, 62, 
50, 48, 56, 65, 68, 72, 86, 99, 97, 88, 99, 101, 
92, 82, 86, 88, 81, 74, 83, 93, 97, 76, 43, 47, 
37, 76, 71, 68, 50, 54, 74, 69, 68, 74, 87, 83, 
77, 83, 106, 111, 124, 109, 115, 118, 108, 97, 100, 97, 
87, 89, 95, 104, 106, 73, 33, 19, 40, 64, 79, 66, 
41, 53, 65, 82, 80, 83, 87, 94, 82, 79, 90, 89, 
102, 104, 108, 104, 109, 121, 111, 100, 103, 113, 120, 110, 
90, 65, 56, 10, 66, 67, 66, 50, 43, 47, 51, 55, 
58, 51, 51, 76, 65, 79, 79, 74, 68, 70, 76, 77, 
86, 106, 94, 83, 83, 100, 98, 72, 34, 36, 40, 6, 
109, 98, 86, 77, 73, 64, 42, 43, 45, 34, 49, 50, 
43, 92, 105, 99, 90, 88, 83, 75, 75, 80, 87, 88, 
87, 83, 61, 37, 14, 23, 13, 17, 111, 114, 106, 103, 
104, 58, 22, 32, 34, 47, 54, 35, 28, 42, 73, 101, 
112, 124, 127, 117, 116, 95, 85, 88, 85, 67, 38, 21, 
8, 2, 10, 19, 86, 102, 118, 116, 108, 42, 27, 43, 
27, 34, 50, 57, 33, 19, 30, 60, 110, 137, 137, 134, 
122, 101, 83, 75, 65, 50, 31, 19, 17, 32, 34, 21, 
84, 56, 94, 124, 103, 34, 15, 36, 33, 25, 31, 40, 
48, 41, 34, 34, 68, 113, 109, 108, 102, 92, 86, 76, 
64, 42, 25, 30, 31, 63, 65, 42, 98, 72, 60, 112, 
110, 50, 34, 35, 48, 27, 22, 19, 37, 56, 41, 31, 
30, 63, 95, 99, 98, 96, 91, 81, 65, 42, 32, 27, 
24, 55, 65, 48, 93, 105, 66, 61, 106, 66, 48, 34, 
46, 43, 31, 29, 36, 37, 51, 45, 23, 24, 45, 72, 
89, 91, 86, 74, 56, 38, 34, 33, 42, 45, 46, 43, 
55, 85, 76, 46, 64, 59, 34, 47, 41, 60, 56, 40, 
49, 38, 27, 49, 46, 30, 24, 37, 57, 74, 76, 68, 
54, 45, 49, 61, 63, 46, 35, 41, 112, 72, 101, 103, 
40, 27, 34, 48, 32, 38, 53, 43, 52, 44, 23, 23, 
34, 55, 47, 30, 28, 41, 66, 61, 54, 92, 118, 101, 
76, 50, 45, 46, 135, 84, 92, 129, 87, 25, 42, 43, 
25, 24, 36, 40, 43, 37, 33, 30, 27, 31, 55, 52, 
32, 30, 52, 60, 78, 110, 150, 153, 115, 53, 41, 45, 
133, 100, 82, 121, 123, 60, 36, 50, 32, 30, 36, 49, 
36, 34, 39, 45, 44, 36, 33, 59, 69, 31, 34, 56, 
94, 109, 136, 155, 141, 78, 41, 52, 110, 117, 92, 108, 
116, 62, 7, 33, 49, 39, 41, 45, 48, 45, 53, 46, 
47, 55, 37, 28, 58, 45, 22, 32, 66, 102, 99, 105, 
138, 98, 48, 56, 71, 80, 68, 66, 60, 46, 13, 7, 
34, 50, 54, 48, 51, 49, 54, 56, 60, 68, 54, 32, 
26, 56, 43, 20, 37, 84, 88, 82, 108, 70, 26, 36, 
76, 76, 45, 26, 61, 76, 39, 1, 31, 59, 65, 43, 
54, 52, 40, 55, 57, 60, 68, 51, 26, 33, 62, 29, 
16, 29, 42, 52, 52, 37, 35, 79, 75, 77, 50, 30, 
91, 95, 70, 24, 38, 60, 72, 48, 50, 53, 34, 31, 
31, 35, 52, 61, 40, 25, 41, 46, 20, 25, 38, 28, 
24, 22, 46, 80, 80, 70, 73, 45, 84, 93, 84, 76, 
47, 55, 71, 53, 41, 37, 38, 30, 24, 31, 39, 42, 
43, 36, 26, 46, 38, 22, 32, 24, 27, 44, 56, 52, 
57, 59, 62, 46, 77, 87, 82, 89, 58, 48, 59, 58, 
37, 33, 34, 22, 21, 29, 38, 34, 34, 35, 30, 31, 
41, 31, 25, 25, 17, 30, 61, 51, 45, 50, 62, 60, 
96, 108, 91, 97, 76, 53, 66, 67, 47, 37, 30, 24, 
23, 24, 31, 26, 30, 31, 34, 26, 31, 48, 28, 22, 
34, 39, 60, 82, 56, 38, 50, 66, 77, 117, 113, 125, 
101, 59, 66, 65, 54, 49, 37, 35, 27, 26, 24, 28, 
22, 23, 27, 24, 23, 38, 40, 21, 40, 48, 59, 94, 
